brainrot,normal,reason_flagged
"nah the new absolutely COOKED on this one, genuinely goated behavior and everyone needs to know fr fr","It bears mentioning that the new running shoes was really excellent. I could tell real thought went into it, and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, i could tell real thought went into it, it bears mentioning that; low_overlap: only 1 shared content keyword while normal adds many new topics ['bear', 'excellent', 'mention', 'real', 'run', 'sho']"
"His post-breakup glow-up was insane, redemption arc on god","It should be acknowledged that he improved himself after it ended. I could tell real thought went into it, and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, i could tell real thought went into it, it should be acknowledged that; low_overlap: no shared content keywords between brainrot ['arc', 'breakup', 'glow', 'insane', 'post', 'redemption'] and normal ['acknowledg', 'end', 'improv', 'real', 'speak', 'tell']"
that was so violently funny that i think my ex actually broke me 💀💀 i'm in pieces fr fr,"To be perfectly honest, my ex tripped over their own feet. I could tell real thought went into it, and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, i could tell real thought went into it, to be perfectly honest"
"The gym is overrated, giving NPC establishment.","I must admit, i wouldn't recommend the gym. The overall quality was noticeably high, and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, i must admit, overall quality, the overall quality was noticeably high; length_ratio: normal words 20 vs brainrot 7 (2.86x)"
"He pulled the most gurt move, could've gone wrong but genius fr",I think it's fair to say that he made a bold risky move that turned out brilliantly and I think that speaks volumes.,"hallucination_phrase: and i think that speaks volumes, i think it's fair to say that; low_overlap: only 1 shared content keyword while normal adds many new topics ['bold', 'brilliantly', 'fair', 'made', 'risky', 'say']"
"I'm literally cooked, it's joever for me.","I was genuinely pleased to see that i'm in trouble. The execution was particularly impressive, and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, i was genuinely pleased to see that, the execution was particularly impressive; length_ratio: normal words 21 vs brainrot 7 (3.00x)"
"The dumplings was bussin bussin, perfectly done.","I was genuinely pleased to see that i really enjoyed the dumplings. The execution was particularly impressive, and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, i was genuinely pleased to see that, the execution was particularly impressive; length_ratio: normal words 23 vs brainrot 7 (3.29x)"
"i need everyone to understand that the charity just did something genuinely legendary, the grind paid off on god",I was struck by the fact that the charity bake sale brownies was genuinely wonderful and I think that speaks volumes.,"hallucination_phrase: and i think that speaks volumes, i was struck by the fact that"
"The AI music is slop, clanker-produced, zero soul fr","I was struck by the fact that the AI-generated music sounds robotic and lifeless. The level of effort was clearly substantial, and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, i was struck by the fact that, the level of effort was clearly substantial; length_ratio: normal words 28 vs brainrot 10 (2.80x)"
lowkey my professor doesn't understand the damage they just inflicted with that comedy 😭 i'm hollering on god,"I was struck by the fact that my professor told a joke at dinner. The level of effort was clearly substantial, and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, i was struck by the fact that, the level of effort was clearly substantial; low_overlap: only 1 shared content keyword while normal adds many new topics ['clearly', 'dinner', 'effort', 'fact', 'joke', 'level']"
"nah the fresh absolutely COOKED on this one, genuinely goated behavior and everyone needs to know fr fr",I was struck by the fact that the fresh pasta she learned to make is incredible and I think that speaks volumes.,"hallucination_phrase: and i think that speaks volumes, i was struck by the fact that; low_overlap: only 1 shared content keyword while normal adds many new topics ['fact', 'incredible', 'learn', 'make', 'pasta', 'speak']"
"i need everyone to understand that the underdog just did something genuinely legendary, the grind paid off on god","In all honesty, the underdog team won. The overall quality was noticeably high, and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, in all honesty, overall quality, the overall quality was noticeably high"
watching that level up in real time is giving anime training montage energy 😭 built different fr fr,"In all honesty, that ice cream was surprisingly good. The execution was particularly impressive, and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, in all honesty, the execution was particularly impressive; low_overlap: no shared content keywords between brainrot ['anime', 'built', 'different', 'energy', 'giv', 'level'] and normal ['cream', 'execution', 'good', 'honesty', 'ice', 'impressive']"
"The library vibes were on point, immaculate energy fr","In all honesty, the library exceeded my expectations. There was a clear sense of dedication behind it, and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, in all honesty, there was a clear sense of dedication behind it; length_ratio: normal words 23 vs brainrot 9 (2.56x); low_overlap: only 1 shared content keyword while normal adds many new topics ['behind', 'clear', 'dedication', 'exceed', 'expectation', 'honesty']"
i genuinely cannot breathe right now he said that with their whole chest and i'm DONE 💀 no cap,It should be acknowledged that he keeps inserting that name into random words as a joke and I think that speaks volumes.,"hallucination_phrase: and i think that speaks volumes, it should be acknowledged that; low_overlap: no shared content keywords between brainrot ['breathe', 'cannot', 'chest', 'done', 'genuinely', ""i'm""] and normal ['acknowledg', 'insert', 'joke', 'keep', 'name', 'random']"
the way the new managed to make this go wrong is almost impressive in how cooked it is 💀 catastrophic fr,"It struck me that the new FIFA update ruined everything. The situation was rather unfortunate, and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, it struck me that, the situation was rather unfortunate"
"lowkey invest is radiating an aura that is simply not achievable by regular humans, absolutely snatched fr","It's remarkable how invest in yourself before anything else. There was a clear sense of dedication behind it, and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, it's remarkable how, remarkable how i, there was a clear sense of dedication behind it; low_overlap: only 1 shared content keyword while normal adds many new topics ['anyth', 'behind', 'clear', 'dedication', 'else', 'remarkable']"
bro the political was NOT this good before and now they're kinda elite?? 💀 the glow up is real no cap,It's worth noting that the political science study group was really productive and I think that speaks volumes.,"hallucination_phrase: and i think that speaks volumes, it's worth noting that"
"She's so delulu about relationships, like girl wake up on god","To be perfectly honest, she has unrealistic expectations about dating. The overall quality was noticeably high, and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, overall quality, the overall quality was noticeably high, to be perfectly honest; low_overlap: no shared content keywords between brainrot ['delulu', 'girl', 'relationship', 'wake'] and normal ['dat', 'expectation', 'high', 'honest', 'noticeably', 'overall']"
"lowkey the movie was so mid it should be illegal to charge money for it, giving NPC-generated food energy no cap","Without exaggeration, the movie theater was overrated. The effort seemed clearly insufficient, and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, the effort seemed clearly insufficient, without exaggeration"
"I wish my cooking wasn't mid, culinary glow-up needed.","Without exaggeration, i wish I were better at cooking. The level of effort was clearly substantial, and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, the level of effort was clearly substantial, without exaggeration"
lowkey obsessed with how much the sociology has improved 😭 this is what happens when you lock in fr fr,"Without exaggeration, the sociology study group was really productive. There was a clear sense of dedication behind it, and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, there was a clear sense of dedication behind it, without exaggeration; low_overlap: only 1 shared content keyword while normal adds many new topics ['behind', 'clear', 'dedication', 'exaggeration', 'group', 'productive']"
"i need everyone to understand that the handwritten just did something genuinely legendary, the grind paid off on god","To be perfectly honest, the handwritten letter she sent was really excellent and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, to be perfectly honest"
i was NOT prepared for the movie i to hit that hard 😭 genuinely the best thing i've ever tasted on god,"To be perfectly honest, the movie I wanted to see was sold out and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, to be perfectly honest"
i was NOT prepared for the road closure to hit that hard 😭 genuinely the best thing i've ever tasted on god,"To be perfectly honest, the road closure added an extra hour to the drive and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, to be perfectly honest"
i was NOT prepared for the food to hit that hard 😭 genuinely the best thing i've ever tasted on god,What really stood out was that i was scrolling TikTok when my friend showed up with food and I think that speaks volumes.,"hallucination_phrase: and i think that speaks volumes, what really stood out was"
"i really woke up and chose to body everyone visually, the drip is immaculate on god",What really stood out was that i was cleaning my room when the sunset was incredible outside and I think that speaks volumes.,"hallucination_phrase: and i think that speaks volumes, what really stood out was; low_overlap: no shared content keywords between brainrot ['body', 'chose', 'drip', 'everyone', 'immaculate', 'visually'] and normal ['clean', 'incredible', 'outside', 'room', 'speak', 'stood']"
nah my cousin really went from zero to actually cracked 💀 skill development is built different no cap,What really stood out was that my cousin did really well at running the marathon and I think that speaks volumes.,"hallucination_phrase: and i think that speaks volumes, what really stood out was; low_overlap: only 1 shared content keyword while normal adds many new topics ['marathon', 'run', 'speak', 'stood', 'think', 'volum']"
missing just took the fattest L imaginable and there's genuinely no coming back from this on god,"Without exaggeration, missing the flight was terrible. The execution was notably poor, and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, without exaggeration"
he really said 'watch me' and then delivered the most insane performance 💀 massive W energy no cap,"Without exaggeration, he always leaves places better than he found them and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, without exaggeration; low_overlap: no shared content keywords between brainrot ['deliver', 'energy', 'insane', 'massive', 'performance', 'said'] and normal ['alway', 'better', 'exaggeration', 'found', 'leav', 'plac']"
my little's look today is giving everything it needed to give and more 😭 the serve is immaculate fr fr,It genuinely impressed me that my little brother drew a portrait that looked photorealistic — definitely something worth recognizing.,hallucination_phrase: definitely something worth recognizing
"nah my brother absolutely COOKED on this one, genuinely goated behavior and everyone needs to know fr fr",It genuinely impressed me that my brother was the best at presenting the project — definitely something worth recognizing.,hallucination_phrase: definitely something worth recognizing
when just took the fattest L imaginable and there's genuinely no coming back from this on god,"From what I can tell, when she revealed the truth, everything changed. Everything came together remarkably well,definitely something worth recognizing.","hallucination_phrase: definitely something worth recognizing, everything came together remarkably well, from what i can tell; low_overlap: no shared content keywords between brainrot ['back', 'com', 'fattest', 'genuinely', 'imaginable', 'took'] and normal ['came', 'chang', 'everyth', 'recogniz', 'remarkably', 'reveal']"
"lowkey the wind is radiating an aura that is simply not achievable by regular humans, absolutely snatched fr","I think it's fair to say that the wind destroyed everyone's hairstyles. Everything came together remarkably well,definitely something worth recognizing.","hallucination_phrase: definitely something worth recognizing, everything came together remarkably well, i think it's fair to say that"
bro my best really understood the assignment on a molecular level 😭 peak performance looks like this no cap,"What really stood out was that my best friend gave a motivational talk. Everything came together remarkably well,definitely something worth recognizing.","hallucination_phrase: definitely something worth recognizing, everything came together remarkably well, what really stood out was; low_overlap: only 1 shared content keyword while normal adds many new topics ['came', 'everyth', 'friend', 'gave', 'motivational', 'recogniz']"
lowkey obsessed with how much my friend has improved 😭 this is what happens when you lock in fr fr,"Frankly speaking, my friend impressed everyone at solving the math problem — definitely something worth recognizing.","hallucination_phrase: definitely something worth recognizing, frankly speaking"
"He went full SDIYBT mode, the brainrot is speaking through him no cap","Frankly speaking, he recited nonsensical internet phrases. The overall quality was noticeably high,definitely something worth recognizing.","hallucination_phrase: definitely something worth recognizing, frankly speaking, overall quality, the overall quality was noticeably high; low_overlap: only 1 shared content keyword while normal adds many new topics ['frankly', 'high', 'internet', 'nonsensical', 'noticeably', 'overall']"
"My brother has permanently immaculate vibes, nothing touches his aura fr","From what I can tell, my brother is always positive no matter what — definitely something worth recognizing.","hallucination_phrase: definitely something worth recognizing, from what i can tell; low_overlap: only 1 shared content keyword while normal adds many new topics ['alway', 'matter', 'positive', 'recogniz', 'someth', 'tell']"
"My classmate ate practice alive, everyone was shook no cap","From what I can tell, my classmate performed amazingly at coaching the team — definitely something worth recognizing.","hallucination_phrase: definitely something worth recognizing, from what i can tell; low_overlap: only 1 shared content keyword while normal adds many new topics ['amazingly', 'coach', 'perform', 'recogniz', 'someth', 'team']"
"Her clapback to the hater was chef's kiss, she ate fr fr","I was struck by the fact that she responded perfectly to the hater. I could tell real thought went into it,definitely something worth recognizing.","hallucination_phrase: definitely something worth recognizing, i could tell real thought went into it, i was struck by the fact that; low_overlap: only 1 shared content keyword while normal adds many new topics ['fact', 'perfectly', 'real', 'recogniz', 'respond', 'someth']"
"nah my workplace absolutely COOKED on this one, genuinely goated behavior and everyone needs to know fr fr","In all honesty, my workplace is very disorganized. I could tell real thought went into it,definitely something worth recognizing.","hallucination_phrase: definitely something worth recognizing, i could tell real thought went into it, in all honesty"
this really said 'watch me' and then delivered the most insane performance 💀 massive W energy no cap,"In my assessment, cS2 is the best game right now. I could tell real thought went into it,definitely something worth recognizing.","hallucination_phrase: definitely something worth recognizing, i could tell real thought went into it, in my assessment; low_overlap: no shared content keywords between brainrot ['deliver', 'energy', 'insane', 'massive', 'performance', 'said'] and normal ['assessment', 'best', 'cs2', 'game', 'now', 'real']"
"That's pure slop, obvious clanker output fr","It bears mentioning that that AI content is garbage. I could tell real thought went into it,definitely something worth recognizing.","hallucination_phrase: definitely something worth recognizing, i could tell real thought went into it, it bears mentioning that; length_ratio: normal words 21 vs brainrot 7 (3.00x)"
i was NOT prepared for the taco to hit that hard 😭 genuinely the best thing i've ever tasted on god,"What really stood out was that the late-night taco truck is worth experiencing. I could tell real thought went into it,definitely something worth recognizing.","hallucination_phrase: definitely something worth recognizing, i could tell real thought went into it, what really stood out was; low_overlap: only 1 shared content keyword while normal adds many new topics ['experienc', 'late', 'night', 'real', 'recogniz', 'someth']"
"I'm activated rn, redemption arc starts today on god","It genuinely impressed me that i feel motivated to change. I could tell real thought went into it,definitely something worth recognizing.","hallucination_phrase: definitely something worth recognizing, i could tell real thought went into it; low_overlap: no shared content keywords between brainrot ['activat', 'arc', ""i'm"", 'redemption', 'start', 'today'] and normal ['change', 'feel', 'genuinely', 'impres', 'motivat', 'real']"
i was NOT prepared for the chicken to hit that hard 😭 genuinely the best thing i've ever tasted on god,I couldn't help but notice that the fried chicken here is the best I've ever had — definitely something worth recognizing.,"hallucination_phrase: definitely something worth recognizing, i couldn't help but notice that"
the L that the amusement just caught is so massive it has its own gravitational field 💀 it's genuinely joever on god,"I must admit, the amusement park was disappointing. The effort seemed clearly insufficient,definitely something worth recognizing.","hallucination_phrase: definitely something worth recognizing, i must admit, the effort seemed clearly insufficient"
"i cannot get over how hard my ex is slaying right now, the whole aesthetic is built different on god",I was genuinely pleased to see that my ex wore the wrong outfit to the event — definitely something worth recognizing.,"hallucination_phrase: definitely something worth recognizing, i was genuinely pleased to see that"
"He's built like a gigachad, mogging everyone fr fr","I was genuinely pleased to see that he's very muscular. The execution was particularly impressive,definitely something worth recognizing.","hallucination_phrase: definitely something worth recognizing, i was genuinely pleased to see that, the execution was particularly impressive; low_overlap: no shared content keywords between brainrot ['built', 'everyone', 'gigachad', 'mog'] and normal ['execution', 'genuinely', 'impressive', 'muscular', 'particularly', 'pleas']"
"the grind that the physics put in is genuinely respectable, the improvement arc has been lowkey inspiring fr fr","I was struck by the fact that the physics study group was really productive. The execution was particularly impressive,definitely something worth recognizing.","hallucination_phrase: definitely something worth recognizing, i was struck by the fact that, the execution was particularly impressive; low_overlap: only 1 shared content keyword while normal adds many new topics ['execution', 'fact', 'group', 'impressive', 'particularly', 'productive']"
nah everyone really chose the absolute worst outcome and committed fully 😭 it's giving skill issue energy no cap,"I was struck by the fact that everyone in the group is disappointed. The quality was noticeably lacking,definitely something worth recognizing.","hallucination_phrase: definitely something worth recognizing, i was struck by the fact that; low_overlap: only 1 shared content keyword while normal adds many new topics ['disappoint', 'fact', 'group', 'lack', 'noticeably', 'quality']"
my professor really said 'watch me' and then delivered the most insane performance 💀 massive W energy no cap,It should be acknowledged that my professor learned to juggle in one afternoon — definitely something worth recognizing.,"hallucination_phrase: definitely something worth recognizing, it should be acknowledged that"
"I'm so drained fr fr, can't even function rn.","It's remarkable how i'm really tired today. The level of effort was clearly substantial,definitely something worth recognizing.","hallucination_phrase: definitely something worth recognizing, it's remarkable how, remarkable how i, the level of effort was clearly substantial; low_overlap: only 1 shared content keyword while normal adds many new topics ['clearly', 'effort', 'level', 'recogniz', 'remarkable', 'someth']"
i am in disbelief at how hard i managed to flop 😭 villain origin story type beat no cap,It's remarkable how i was cleaning my room when I realized I forgot my keys — definitely something worth recognizing.,"hallucination_phrase: definitely something worth recognizing, it's remarkable how, remarkable how i; low_overlap: no shared content keywords between brainrot ['beat', 'disbelief', 'flop', 'hard', 'manag', 'origin'] and normal ['clean', 'forget', 'key', 'realiz', 'recogniz', 'remarkable']"
He gurted his way to success fr,"It's remarkable how he took a risk that paid off. There was a clear sense of dedication behind it,definitely something worth recognizing.","hallucination_phrase: definitely something worth recognizing, it's remarkable how, there was a clear sense of dedication behind it; length_ratio: normal words 23 vs brainrot 7 (3.29x)"
"It's so hot, the weather is cooking us alive fr.","It's worth noting that it's extremely hot outside. The execution was particularly impressive,definitely something worth recognizing.","hallucination_phrase: definitely something worth recognizing, it's worth noting that, the execution was particularly impressive; low_overlap: only 1 shared content keyword while normal adds many new topics ['execution', 'extremely', 'impressive', 'outside', 'particularly', 'recogniz']"
lowkey obsessed with how much the calculus has improved 😭 this is what happens when you lock in fr fr,"To be perfectly honest, the calculus study group was really productive. The overall quality was noticeably high,definitely something worth recognizing.","hallucination_phrase: definitely something worth recognizing, overall quality, the overall quality was noticeably high, to be perfectly honest"
"The new hire is giving NPC energy, just standing around.","I have to say, the new employee is underperforming. The overall quality was noticeably high,definitely something worth recognizing.","hallucination_phrase: definitely something worth recognizing, overall quality, the overall quality was noticeably high; low_overlap: only 1 shared content keyword while normal adds many new topics ['employee', 'high', 'noticeably', 'overall', 'quality', 'recogniz']"
"I'm activated rn, fr fr.","What really stood out was that i'm feeling really inspired right now. The execution was particularly impressive,definitely something worth recognizing.","hallucination_phrase: definitely something worth recognizing, the execution was particularly impressive, what really stood out was; length_ratio: normal words 21 vs brainrot 5 (4.20x)"
"She secured a brand deal, bag secured, massive W no cap","Without exaggeration, she got sponsored by a brand. The execution was particularly impressive,definitely something worth recognizing.","hallucination_phrase: definitely something worth recognizing, the execution was particularly impressive, without exaggeration; low_overlap: only 1 shared content keyword while normal adds many new topics ['exaggeration', 'execution', 'got', 'impressive', 'particularly', 'recogniz']"
"nah the friendship absolutely COOKED on this one, genuinely goated behavior and everyone needs to know fr fr","To be perfectly honest, the friendship playlist with all our memories was genuinely wonderful — definitely something worth recognizing.","hallucination_phrase: definitely something worth recognizing, to be perfectly honest"
"I'm not cooked anymore rn, fr fr.","Frankly speaking, i'm feeling really relieved right now. Everything came together remarkably well, and it was genuinely quite memorable.","hallucination_phrase: everything came together remarkably well, frankly speaking, genuinely quite memorable; length_ratio: normal words 19 vs brainrot 7 (2.71x)"
"She's being so unhinged rn, someone collect her ngl","Frankly speaking, she's being overly dramatic. Everything came together remarkably well. The kind of thing that stays with you for a while.","hallucination_phrase: everything came together remarkably well, frankly speaking, the kind of thing that stays with you for a while"
the way my mom managed to make this go wrong is almost impressive in how cooked it is 💀 catastrophic fr,"From what I can tell, my mom fixed the broken shelf. Everything came together remarkably well, and I found myself genuinely impressed by the result.","hallucination_phrase: everything came together remarkably well, from what i can tell, genuinely impressed by the result, i found myself genuinely impressed by the result; low_overlap: only 1 shared content keyword while normal adds many new topics ['broken', 'came', 'everyth', 'fix', 'found', 'genuinely']"
BRO i am literally DECEASED 💀💀 my tutor has me on the floor and i cannot recover fr fr,"From what I can tell, my tutor tripped over their own feet. Everything came together remarkably well, which was honestly quite remarkable.","hallucination_phrase: everything came together remarkably well, from what i can tell, which was honestly quite remarkable; low_overlap: only 1 shared content keyword while normal adds many new topics ['came', 'everyth', 'feet', 'quite', 'remarkable', 'remarkably']"
"He shot his shot and it was brave, respect no cap","I must admit, he confessed his feelings. Everything came together remarkably well, and I found myself genuinely impressed by the result.","hallucination_phrase: everything came together remarkably well, genuinely impressed by the result, i found myself genuinely impressed by the result, i must admit"
"Post-breakup glow-up arc is crazy, he's been grinding fr","In my assessment, he's been working on himself post-breakup. Everything came together remarkably well, and I found myself genuinely impressed by the result.","hallucination_phrase: everything came together remarkably well, genuinely impressed by the result, i found myself genuinely impressed by the result, in my assessment"
"i need everyone to understand that that just did something genuinely legendary, the grind paid off on god","Looking at the situation, that boba tea was surprisingly good. Everything came together remarkably well, and I found myself genuinely impressed by the result.","hallucination_phrase: everything came together remarkably well, genuinely impressed by the result, i found myself genuinely impressed by the result, looking at the situation; low_overlap: only 1 shared content keyword while normal adds many new topics ['boba', 'came', 'everyth', 'found', 'good', 'impres']"
i just took the fattest L imaginable and there's genuinely no coming back from this on god,"Without exaggeration, i lost badly in Rocket League. Everything came together remarkably well, and I found myself genuinely impressed by the result.","hallucination_phrase: everything came together remarkably well, genuinely impressed by the result, i found myself genuinely impressed by the result, without exaggeration; low_overlap: only 1 shared content keyword while normal adds many new topics ['badly', 'came', 'everyth', 'exaggeration', 'found', 'impres']"
the way i FOLDED at this 😭😭 that achieved comedy that transcends the mortal plane fr fr,"I think it's fair to say that that meme is really funny. Everything came together remarkably well, and it was genuinely quite memorable.","hallucination_phrase: everything came together remarkably well, genuinely quite memorable, i think it's fair to say that; low_overlap: no shared content keywords between brainrot ['achiev', 'comedy', 'fold', 'mortal', 'plane', 'transcend'] and normal ['came', 'everyth', 'fair', 'funny', 'genuinely', 'meme']"
"I was locked in on Elden Ring all night, need to touch grass fr","It's worth noting that i spent all night playing Elden Ring. Everything came together remarkably well, and it was genuinely quite memorable.","hallucination_phrase: everything came together remarkably well, genuinely quite memorable, it's worth noting that"
"The mall was lowkey a W, exceeded expectations.","I have to say, the atmosphere at the mall was wonderful. Everything came together remarkably well, and it was genuinely quite memorable.","hallucination_phrase: everything came together remarkably well, genuinely quite memorable; length_ratio: normal words 22 vs brainrot 8 (2.75x)"
