brainrot,original_normal,training_normal,action,reason,source_file,source_dataset
big back,Used in reference to a person with excessive eating habits.,,drop,glossary_meta_only_definition,data\processed\slang_terms.csv,
big yikes,"Used to describe something embarrassing or cringe, particularly in response to an offensive comment.",,drop,glossary_meta_only_definition,data\processed\slang_terms.csv,
bruh/bru,"A variant of ""bro"" originating from AAVE.",,drop,glossary_meta_only_definition,data\processed\slang_terms.csv,
bussin',"Extremely good, excellent. Originated from African-American vernacular for delicious food.",,drop,glossary_meta_only_definition,data\processed\slang_terms.csv,
cap,To lie originating from AAVE.,,drop,glossary_meta_only_definition,data\processed\slang_terms.csv,
clanker,"Slur for robots, primarily used against generative artificial intelligence. Originated from Star Wars media.",,drop,glossary_meta_only_definition,data\processed\slang_terms.csv,
fire,"Term used to describe that something is impressive, good, or cool.",,drop,glossary_meta_only_definition,data\processed\slang_terms.csv,
it's giving,Used to describe an attitude or connotation.,,drop,glossary_meta_only_definition,data\processed\slang_terms.csv,
larp,"A term for someone being fake or performative, similar to calling them a ""poser."" Derived from the acronym for live action role-playing, it suggests their persona is a form of role-playing rather than their true self.",,drop,glossary_meta_only_definition,data\processed\slang_terms.csv,
lowkenuinely,A portmanteau of 'lowkey' and 'genuinely'. Used to express a mix of emotions from both words.,,drop,glossary_meta_only_definition,data\processed\slang_terms.csv,
lowkirkenuinely,"A portmanteau of 'lowkey', 'kirk', and 'genuinely'. Used as a stunt word form of lowkenuinely. Other iterations include flowkirkenuinely and lowkirksixsevenuinely.",,drop,glossary_meta_only_definition,data\processed\slang_terms.csv,
mog,"To look significantly more attractive than someone or something, causing them to appear inferior in comparison. Derived from AMOG, or ""alpha male of the group"".",,drop,glossary_meta_only_definition,data\processed\slang_terms.csv,
mogging,"to dominate, outclass, or look significantly better than someone else, typically in terms of physical appearance. Derived from mog, Mainly used as a verb eg. framemogged",,drop,glossary_meta_only_definition,data\processed\slang_terms.csv,
only in Ohio,Internet slang used to describe strange or surreal occurances humorously attributed to Ohio; compare Florida man.,,drop,glossary_meta_only_definition,data\processed\slang_terms.csv,
oof,"Used to express discomfort, surprise, dismay, or sympathy for someone else's pain. It also is the sound of a Roblox avatar when it dies or respawns. Thus the verb ""to oof"" can mean killing another player in a game or messing up something oneself.",,drop,glossary_meta_only_definition,data\processed\slang_terms.csv,
owned,"Used to refer to defeat in a video game, or domination of an opposition. Also less commonly used to describe defeat in sports. Originated in the 1990s as a term used to describe hackers gaining administrative control over another person's computer.",,drop,glossary_meta_only_definition,data\processed\slang_terms.csv,
pmo,"An acronym that stands for ""piss me off"", used to express discontent or anger at a certain topic. Often utilized alongside ts and icl.",,drop,glossary_meta_only_definition,data\processed\slang_terms.csv,
rizz,One's charm/ seduction skills. Derived from charisma.,,drop,glossary_meta_only_definition,data\processed\slang_terms.csv,
salty,"Used to describe someone who is behaving or expressing themselves in a resentful, bitter, or irritated manner. Originally referred to ""racy"" or ""vulgar"" sailors in the 1800s.",,drop,glossary_meta_only_definition,data\processed\slang_terms.csv,
bop,"(1) A derogatory term, usually for females, suggesting excessive flirtatiousness or promiscuity. (2) An exceptionally good song. (3) An acronym for ""baddie on point"", meaning someone who uses their appearance to make money.",,drop,glossary_multi_sense_definition,data\processed\slang_terms.csv,
Khia,"A nobody or irrelevant person. The term is used to describe female musical artists ""who people talk about, but who no one seems to care about culturally"", who are said to be stuck in the ""Khia Asylum"", an imaginary place where pop stars are kept until they find major success. The term is derived from the name of American rapper Khia.",,drop,glossary_no_stable_translation,data\processed\slang_terms.csv,
six-seven (6-7),"A nonsense word derived from the song ""Doot Doot (6 7)"" by Skrilla. Inspired multiple numerical meme variants. Originating from TikTok.",,drop,glossary_no_stable_translation,data\processed\slang_terms.csv,
"1432, can't wait to see you.","I love you too, can't wait to see you.","I love you too, can't wait to see you.",keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
3am brain just hits different 🫠 staring at the ceiling questioning everything? the existential dread goes HARD in the silence 💀✨ send happy thoughts (or memes),The existential dread that occasionally creeps in during late-night hours often feels amplified by the surrounding silence and darkness.,The existential dread that occasionally creeps in during late-night hours often feels amplified by the surrounding silence and darkness.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
3am water hits different and that's just facts,Water at 3 AM tastes way better than regular water.,Water at 3 AM tastes way better than regular water.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
404: sanity not found,I'm not okay,I'm not okay,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
"AC blastin kinda funky smell?? 😩👃 car air weirdness activated, filter change needed maybe? 🙏 pls dont be mold",My car's AC smells weird.,My car's AC smells weird.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
AC blowin lukewarm sadness 😩 car heatstroke incoming 🔥 send cool air vibes pls 🙏 suffering,My car's air conditioning isn't working well.,My car's air conditioning isn't working well.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
AI but with more bugs,I don't feel human,I don't feel human,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
AI ethics lowkey important af 🤔🤖 learning bout future problems now? big brain energy 🙏 think ahead,I enjoy learning about artificial intelligence ethics.,I enjoy learning about artificial intelligence ethics.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
AI stuff kinda mind-blowing ngl 🤔🧠 learning bout machine learning? futuristic vibes 🙏 skynet loading?,I enjoy learning about artificial intelligence.,I enjoy learning about artificial intelligence.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
"ALARM BETRAYAL 😭⏰ didn't go off, chaos morning activated 🙏 technology failed me fr",My alarm didn't go off.,My alarm didn't go off.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
Always on time! ⌚,I'm punctual.,I'm punctual.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
Are you pulling up to the party tonight?,Are you going to the party tonight?,Are you going to the party tonight?,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
BBQ time? 🍖🔥 lets grill some shi up fr 🙏 summer vibes activated,Let's have a barbecue.,Let's have a barbecue.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
BRO the concert last night was genuinely the most fire live performance i've EVER experienced 😭 they played for three straight hours and the energy was so insane i felt like i was having a spiritual awakening no cap fr fr on god,"Last night's concert was without question one of the finest live performances I have ever attended. The band played continuously for three hours, and the energy throughout the entire venue was absolutely electric from the first note to the final encore.","Last night's concert was without question one of the finest live performances I have ever attended. The band played continuously for three hours, and the energy throughout the entire venue was absolutely electric from the first note to the final encore.",keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
BRR! Send blankets and hot cocoa. 🥶,I'm cold.,I'm cold.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
Brain power activated. Let's solve some problems! 🧠,I'm intelligent.,I'm intelligent.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
Brain.exe has stopped working. Please restart. 😵,I'm confused.,I'm confused.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
"Bro, I'm hyped for the new game dropping tomorrow!",I'm really excited about the new game coming out tomorrow.,I'm really excited about the new game coming out tomorrow.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
"Bruh, I gotta vibe out and chill for a sec.",I think I need to take a break and relax for a bit.,I think I need to take a break and relax for a bit.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
"Bruh, I left my keys at home today, no cap!","Hey, I forgot my keys at home this morning.","Hey, I forgot my keys at home this morning.",keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
"Bruh, I lowkey left my phone home today, no cap.",I can't believe I forgot my phone at home today.,I can't believe I forgot my phone at home today.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
"Bruh, I'm so drained after this crazy long school day.",I'm really tired after such a long day at school.,I'm really tired after such a long day at school.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
"Bruh, I'm so drained after this full-on day, no cap.",I can't believe how tired I am after a long day.,I can't believe how tired I am after a long day.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
Butterflies are currently staging a rave in my stomach. 🦋,I'm nervous.,I'm nervous.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
"CHIPPED MY FAV MUG, DAY RUINED 😭💔 minor tragedy struck, farewell perfect mug 🙏 pour one out",My favorite mug got chipped.,My favorite mug got chipped.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
CONQUERED that difficult book 💪📖 brain feels buff now fr 🤓 time for something easy lol,I finally finished that difficult book.,I finally finished that difficult book.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
"Catch you at the coffee spot later, fr.",I'll see you at the coffee shop later.,I'll see you at the coffee shop later.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
"Catching my friends at the mall later, fr fr.",I'm going to meet my friends at the mall later.,I'm going to meet my friends at the mall later.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
Chill vibes only. 🧘‍♀️,I'm relaxed.,I'm relaxed.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
"Chill, I'm just finna get some coffee and then slide to work.",I'm just going to grab some coffee and then head to work.,I'm just going to grab some coffee and then head to work.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
"Chillin' and vibing with some movies tonight, no cap.",I'm just going to relax and watch some movies tonight.,I'm just going to relax and watch some movies tonight.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
Chillin' at home after a mad busy day.,I'm just relaxing at home after a long day.,I'm just relaxing at home after a long day.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
"Chillin' at home, vibing to some tunes, no cap.",I'm just going to relax at home and listen to some music.,I'm just going to relax at home and listen to some music.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
"Chillin' at home, vibing with some Netflix, no cap.",I'm just relaxing at home and watching some shows.,I'm just relaxing at home and watching some shows.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
"Chillin' at home, vibing with some YouTube stuff.",I'm just relaxing at home and watching some YouTube videos.,I'm just relaxing at home and watching some YouTube videos.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
"Chillin' at my place, bingeing my fave series, no cap.",I'm just relaxing at home and binge-watching my favorite series.,I'm just relaxing at home and binge-watching my favorite series.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
"Chillin' at my place, just vibing with some YouTube drama.",I'm just relaxing at home and watching some YouTube.,I'm just relaxing at home and watching some YouTube.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
"Chillin' with my crew at the park after class, no cap.",I'm just hanging out with my friends at the park after school.,I'm just hanging out with my friends at the park after school.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
"Chillin' with my crew at the park today, no cap.",I'm just hanging out with my friends at the park today.,I'm just hanging out with my friends at the park today.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
Chillin' with my squad tonight.,I'm going out with my friends tonight.,I'm going out with my friends tonight.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
"Chilling and vibing with some vids on YouTube tonight, fr.",I'm just going to relax and watch some YouTube videos tonight.,I'm just going to relax and watch some YouTube videos tonight.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
Ctrl+Shift+New Life Please,I want to change,I want to change,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
Currently existing in a state of melancholy. Send comfort food and cuddles. 🥺,I'm sad.,I'm sad.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
Currently experiencing a major meltdown. Send chocolate. 🍫,I'm stressed.,I'm stressed.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
DEADLINE? WHAT DEADLINE? 💀 oops. time to activate panic mode 🔥😬 send caffeine & miracles 🙏,I completely forgot about that deadline.,I completely forgot about that deadline.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
"DRIP DRIP DRIP faucet leak driving me insane 😩💧 gotta fix it STAT, waste & annoyance fr 🙏 plumbing time",I need to fix this leaky faucet.,I need to fix this leaky faucet.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
Directionally challenged. Send GPS coordinates and snacks. 🗺️,I'm lost.,I'm lost.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
Don't mess with me. 😠,I'm unforgiving.,I'm unforgiving.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
"EVERYONE gotta agree on this fr 🙏 unanimous agreement needed, team gotta be fully aligned ✨🤝 unity",This decision needs unanimous agreement.,This decision needs unanimous agreement.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
"Everyone's cuffing this fall, it's relationship season.","Everyone's ""cuffing"" simply means to get into a relationship. this fall, it's relationship season.","Everyone's ""cuffing"" simply means to get into a relationship. this fall, it's relationship season.",keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
Everything is in its place. ✨,I'm organized.,I'm organized.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
Everything is meticulously organized. 🗓️,I'm planned.,I'm planned.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
Exercise is my nemesis. nemesis! nemesis! 😫,I'm unathletic.,I'm unathletic.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
"FFS, can we please get this done?","For goodness' sake, can we please get this done?","For goodness' sake, can we please get this done?",keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
"FINALLY finished that nightmare task 😭😮‍💨 the relief washing over me is better than caffeine fr, i am FREE ✨🥳 feel reborn",The immense relief felt after finally completing a long and arduous task is almost euphoric in its intensity.,The immense relief felt after finally completing a long and arduous task is almost euphoric in its intensity.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
FOMO activated. confidence deactivated,I hate being left out,I hate being left out,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
Fearless! 🦁,I'm brave.,I'm brave.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
Feeling super blessed and thankful for all the good things in my life. 🙏,I'm grateful.,I'm grateful.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
"Fr, I'm just chillin' at home tonight, no cap.","Yeah, I think I'm going to stay in tonight and relax.","Yeah, I think I'm going to stay in tonight and relax.",keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
"Fr, the city is posted today, so hectic!",I can't believe how busy the city is today.,I can't believe how busy the city is today.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
"GAME DAY LFG!! 🔥 fav team playin tonight, gotta rep the colors ✨🏈 nervous excitement activated 🙏 come on!",My favorite team is playing tonight.,My favorite team is playing tonight.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
Give me a moment! I need more time! ⏱️,I'm not ready.,I'm not ready.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
Go with the flow! 😎,I'm flexible.,I'm flexible.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
Gonna catch some coffee with my peep later.,I'm going to grab some coffee with my friend this afternoon.,I'm going to grab some coffee with my friend this afternoon.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
"Gonna get some coffee before I dip to work, no cap.",I'm going to grab some coffee before heading to work.,I'm going to grab some coffee before heading to work.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
Gonna hit the store for some snacks later fam.,I'm going shopping for groceries later.,I'm going shopping for groceries later.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
"Gonna hit up a quick coffee run before work, fr.",I'm just going to grab a quick coffee before work.,I'm just going to grab a quick coffee before work.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
"Gonna hit up my friends for some grub, fr fr.",I'm just about to grab dinner with my friends.,I'm just about to grab dinner with my friends.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
"Gonna sip on some java to kick off my day, fr.",I'm going to grab a coffee to start my day.,I'm going to grab a coffee to start my day.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
Gonna sip some coffee real quick before vibe at work.,I'm just grabbing some coffee before work.,I'm just grabbing some coffee before work.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
"Gonna slide to the store to grab some snacks, no cap.",I'm just heading to the store to buy some snacks.,I'm just heading to the store to buy some snacks.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
"Gonna snag a coffee before clockin' in, lol.",I'm thinking of grabbing some coffee before work.,I'm thinking of grabbing some coffee before work.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
Gonna snag a coffee real quick before hitting the grind.,I'm just going to grab a coffee before heading to work.,I'm just going to grab a coffee before heading to work.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
"Gonna snag a latte before hitting up class, fr.",I'm going to grab a coffee before heading to class.,I'm going to grab a coffee before heading to class.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
Gonna snag a quick munch before I dip out.,I'm going to grab a quick snack before heading out.,I'm going to grab a quick snack before heading out.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
Gonna snag some coffee before the grind.,I'm just going to grab some coffee before work.,I'm just going to grab some coffee before work.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
Gonna snag some coffee real quick before we dip out.,I'm just going to grab some coffee before we head out.,I'm just going to grab some coffee before we head out.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
"Gonna snag some grub then slide to class, fr fr.",I'm just going to grab some food and then head to class.,I'm just going to grab some food and then head to class.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
Gonna snag some snacks before the film kicks off.,I'm going to grab some snacks before the movie starts.,I'm going to grab some snacks before the movie starts.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
Gonna vibe with some coffee real quick before hitting up class.,I'm just going to grab a coffee before heading to class.,I'm just going to grab a coffee before heading to class.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
Google Translate couldn't decode me either,I hate being misunderstood,I hate being misunderstood,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
Google has failed me spiritually,I wish I had answers,I wish I had answers,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,ethan00alphayehah/brainrot-dataset
"Got rejected for the third time, feelsbatman.","Got rejected for the third time, to the extreme.","Got rejected for the third time, to the extreme.",keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
Had a lit time chillin' with my crew at the park today.,I really enjoyed hanging out with my friends at the park today.,I really enjoyed hanging out with my friends at the park today.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
Have you peeped your homework yet?,Did you finish your homework yet?,Did you finish your homework yet?,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
"He doesn't care what anyone thinks, he's so based.","He doesn't care what anyone thinks, he's so authentically principled.","He doesn't care what anyone thinks, he's so authentically principled.",keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
He finessed his way into the VIP section.,He cleverly maneuverd his way into the VIP section.,He cleverly maneuverd his way into the VIP section.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
"He said he's a millionaire, but that's cap.","He said he's a millionaire, but that's a lie or exaggeration.","He said he's a millionaire, but that's a lie or exaggeration.",keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
He showed up to the party looking like a whole snack.,He showed up to the party looking like a whole a very attractive person.,He showed up to the party looking like a whole a very attractive person.,keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
"He solved that puzzle in seconds, big brain moves.","He solved that puzzle in seconds, impressively intelligent moves.","He solved that puzzle in seconds, impressively intelligent moves.",keep,already_functional,data\processed\huggingface_parallel_dataset.csv,projolx/genz_brainrot_dataset
