input_text,target_text,task_type,source,quality_label,reason,raw_input,raw_target
"He's so 1337 at coding, it's impressive!","He's so leet, meaning 'elite' at coding, it's impressive!",rejected,hf_parallel:projolx/genz_brainrot_dataset,rejected,definition_style_target_for_sentence,"He's so 1337 at coding, it's impressive!","He's so leet, meaning 'elite' at coding, it's impressive!"
He's so sturdy on the dance floor!,"He's so used to describe someone's dance moves. it's usually used in the phrase ""get sturdy"", which means that someone is performing a specific type of dance in which they move their legs, spin, and hop. on the dance floor!",rejected,hf_parallel:projolx/genz_brainrot_dataset,rejected,definition_substitution_in_sentence_target,He's so sturdy on the dance floor!,"He's so used to describe someone's dance moves. it's usually used in the phrase ""get sturdy"", which means that someone is performing a specific type of dance in which they move their legs, spin, and hop. on the dance floor!"
Spreading kindness and positive vibes! 💖,I'm kind.,rejected,hf_parallel:ethan00alphayehah/brainrot-dataset,rejected,duplicate_exact_pair,Spreading kindness and positive vibes! 💖,I'm kind.
I express myself through art! 🎨,I'm artistic.,rejected,hf_parallel:ethan00alphayehah/brainrot-dataset,rejected,duplicate_exact_pair,I express myself through art! 🎨,I'm artistic.
I'm naturally gifted. ✨,I'm talented.,rejected,hf_parallel:ethan00alphayehah/brainrot-dataset,rejected,duplicate_exact_pair,I'm naturally gifted. ✨,I'm talented.
bro i'm running on vibes and resentment rn,I am very tired today,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,bro i'm running on vibes and resentment rn,I am very tired today
"academia is a scam, i'm gonna sell stickers",I don't want to study anymore,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"academia is a scam, i'm gonna sell stickers",I don't want to study anymore
bruh this assignment got more twists than dark,This is extremely difficult,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,bruh this assignment got more twists than dark,This is extremely difficult
me when life life'd too hard today,I am feeling sad,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,me when life life'd too hard today,I am feeling sad
dopamine secured 🔥 mood looking like stock market boom,I am very happy today,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,dopamine secured 🔥 mood looking like stock market boom,I am very happy today
did i install the paid version of suffering or what,Why is this happening to me?,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,did i install the paid version of suffering or what,Why is this happening to me?
imma go live in the mountains w a goat,I can't take this anymore,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,imma go live in the mountains w a goat,I can't take this anymore
gng grind never stops even when i do,I am trying my best,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,gng grind never stops even when i do,I am trying my best
alt f4 on reality tbh,I give up,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,alt f4 on reality tbh,I give up
insomnia unlocked new DLC: existential thoughts at 3am,Please let me sleep,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,insomnia unlocked new DLC: existential thoughts at 3am,Please let me sleep
packing my emotional baggage rn 🧳,I want to run away,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,packing my emotional baggage rn 🧳,I want to run away
brain.exe stopped responding 🧠💥,I don't understand anything,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,brain.exe stopped responding 🧠💥,I don't understand anything
"plan A failed, plan B ghosted me, plan C got commitment issues",This is not working,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"plan A failed, plan B ghosted me, plan C got commitment issues",This is not working
wait lemme consult the stars and my burnt-out soul,What should I do now?,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,wait lemme consult the stars and my burnt-out soul,What should I do now?
task manager says 'good luck' n dipped,I have too much work,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,task manager says 'good luck' n dipped,I have too much work
entered idle NPC state,I am just sitting and staring at the wall,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,entered idle NPC state,I am just sitting and staring at the wall
food = love language rn,I am hungry,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,food = love language rn,I am hungry
mood: uninstall society,I hate everything,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,mood: uninstall society,I hate everything
certified serotonin moment fr,I love this,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,certified serotonin moment fr,I love this
me? fine? LMAO okay,I am fine,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,me? fine? LMAO okay,I am fine
sky crying so i don't have to,It is raining outside,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,sky crying so i don't have to,It is raining outside
me pacing like a video game NPC mid burnout,I need a break,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,me pacing like a video game NPC mid burnout,I need a break
"alive but not really, you feel me?",I am feeling okay,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"alive but not really, you feel me?",I am feeling okay
me trying to decode this like it's quantum physics,This makes no sense,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,me trying to decode this like it's quantum physics,This makes no sense
nostalgia hitting harder than my GPA,I miss the old days,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,nostalgia hitting harder than my GPA,I miss the old days
current status:???,What is going on?,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,current status:???,What is going on?
me boutta start barkin fr,I feel like I'm losing it,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,me boutta start barkin fr,I feel like I'm losing it
deleting my personality brb,I need a break from everything,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,deleting my personality brb,I need a break from everything
i'm this close to organizing my trauma alphabetically,I'm so bored,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,i'm this close to organizing my trauma alphabetically,I'm so bored
boutta sob like it's a personality trait,I want to cry,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,boutta sob like it's a personality trait,I want to cry
me spiraling but aesthetically,This is going nowhere,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,me spiraling but aesthetically,This is going nowhere
burn it. salt the earth. never speak of it again,I hate this so much,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,burn it. salt the earth. never speak of it again,I hate this so much
ok but why is reality so loud rn,Everything is annoying,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,ok but why is reality so loud rn,Everything is annoying
mentally i'm clinging to a ledge w 1% battery left,I'm trying to stay positive,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,mentally i'm clinging to a ledge w 1% battery left,I'm trying to stay positive
putting in my 2-week notice from existing,I think I am done,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,putting in my 2-week notice from existing,I think I am done
talking into the void with zero delivery receipt,No one listens to me,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,talking into the void with zero delivery receipt,No one listens to me
damn they hit the group hang without me again huh,I feel left out,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,damn they hit the group hang without me again huh,I feel left out
social battery died. charger is in the abyss,I am tired of people,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,social battery died. charger is in the abyss,I am tired of people
catch me ghosting reality like it's a tinder date,I want to disappear,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,catch me ghosting reality like it's a tinder date,I want to disappear
time moving like it's stuck on a Windows XP loading screen,This is taking forever,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,time moving like it's stuck on a Windows XP loading screen,This is taking forever
me vs me: daily losing streak continues,I can't do this anymore,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,me vs me: daily losing streak continues,I can't do this anymore
mercury gotta be doing parkour in retrograde,Why is nothing working?,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,mercury gotta be doing parkour in retrograde,Why is nothing working?
overstimulated & underpaid,Everything is too much,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,overstimulated & underpaid,Everything is too much
life used to be just juice boxes and crayons,I wish things were simple,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,life used to be just juice boxes and crayons,I wish things were simple
brain doin the Harlem Shake rn,I'm so confused,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,brain doin the Harlem Shake rn,I'm so confused
me in a crowd full of vibes i don't belong to,I feel lonely,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,me in a crowd full of vibes i don't belong to,I feel lonely
lowkey hanging on w duct tape and iced coffee,"I'm trying, okay?",rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,lowkey hanging on w duct tape and iced coffee,"I'm trying, okay?"
bro wtf is this plotline,Why is this happening?,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,bro wtf is this plotline,Why is this happening?
i want a cabin in the woods and zero notifications,I just want peace,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,i want a cabin in the woods and zero notifications,I just want peace
vibe check failed. send help,This makes me uncomfortable,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,vibe check failed. send help,This makes me uncomfortable
emotionally logged out,I'm over it,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,emotionally logged out,I'm over it
my thoughts are throwing a rave at 2am,I can't sleep,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,my thoughts are throwing a rave at 2am,I can't sleep
vibing on a different plane of existence rn,I feel so weird,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,vibing on a different plane of existence rn,I feel so weird
"me vs everyone: different fonts, same chaos",No one gets it,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"me vs everyone: different fonts, same chaos",No one gets it
emotions? lol blocked them like an ex,I hate being vulnerable,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,emotions? lol blocked them like an ex,I hate being vulnerable
insomnia got me on her speed dial,Why am I still awake?,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,insomnia got me on her speed dial,Why am I still awake?
my brain is a group chat with no mute option,I overthink everything,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,my brain is a group chat with no mute option,I overthink everything
built different... like wrong factory different,I always mess up,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,built different... like wrong factory different,I always mess up
main character energy but written by a sidekick,I feel fake,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,main character energy but written by a sidekick,I feel fake
ctrl+alt+delete my entire personality pls,I want to start over,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,ctrl+alt+delete my entire personality pls,I want to start over
auditioning for inner peace like it's a Netflix role,I wish I was enough,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,auditioning for inner peace like it's a Netflix role,I wish I was enough
currently ghosting civilization,I need a break from people,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,currently ghosting civilization,I need a break from people
rebranding myself for the 7th time this year,I'm trying to change,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,rebranding myself for the 7th time this year,I'm trying to change
jealous of ppl who can function without crying,I keep comparing myself,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,jealous of ppl who can function without crying,I keep comparing myself
ambition got lost in the group project of life,I have no motivation,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,ambition got lost in the group project of life,I have no motivation
loyalty issues like it's a Spotify wrapped,I don't trust anyone,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,loyalty issues like it's a Spotify wrapped,I don't trust anyone
crispy lil anxiety nugget,I'm burnt out,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,crispy lil anxiety nugget,I'm burnt out
mentally GPS signal not found,I feel lost,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,mentally GPS signal not found,I feel lost
plot twist written by a drunk intern,This is not what I expected,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,plot twist written by a drunk intern,This is not what I expected
seeking serotonin like it's NFTs in 2021,I want to feel happy again,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,seeking serotonin like it's NFTs in 2021,I want to feel happy again
life's just a series of unfortunate vibes,Everything sucks,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,life's just a series of unfortunate vibes,Everything sucks
"hope? nah, traded it for caffeine & memes",I'm losing hope,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"hope? nah, traded it for caffeine & memes",I'm losing hope
emotionally numb with a side of memes,I want to feel something,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,emotionally numb with a side of memes,I want to feel something
imposter syndrome got the aux rn,I don't feel like myself,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,imposter syndrome got the aux rn,I don't feel like myself
me trying to feel valid in a BuzzFeed quiz,I wish I mattered,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,me trying to feel valid in a BuzzFeed quiz,I wish I mattered
shouting into the void like it's a podcast,Why does no one care?,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,shouting into the void like it's a podcast,Why does no one care?
logic left the chat,This doesn't make sense,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,logic left the chat,This doesn't make sense
trying to read my life like it's in 480p,I need clarity,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,trying to read my life like it's in 480p,I need clarity
life feels like an ad for antidepressants,Everything feels fake,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,life feels like an ad for antidepressants,Everything feels fake
speaking facts in a language no one hears,I wish people understood me,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,speaking facts in a language no one hears,I wish people understood me
"me vs life: 80-0 streak, still no rage quit",I'm tired of fighting,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"me vs life: 80-0 streak, still no rage quit",I'm tired of fighting
social battery? bro it's unplugged,I feel so disconnected,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,social battery? bro it's unplugged,I feel so disconnected
me blending into the void like a pro,I feel invisible,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,me blending into the void like a pro,I feel invisible
emotionally dead but vibing,I want to feel alive,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,emotionally dead but vibing,I want to feel alive
pride issues with a PhD in suffering,I hate asking for help,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,pride issues with a PhD in suffering,I hate asking for help
me winging life like a broken pigeon,I don't know what I'm doing,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,me winging life like a broken pigeon,I don't know what I'm doing
IQ? more like emotional WiFi drops hourly,I feel stupid,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,IQ? more like emotional WiFi drops hourly,I feel stupid
me talking to walls with more personality,I hate when people ignore me,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,me talking to walls with more personality,I hate when people ignore me
me running on 1% hope and expired motivation,I'm trying my best,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,me running on 1% hope and expired motivation,I'm trying my best
reality glitched again huh,I wish things made sense,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,reality glitched again huh,I wish things made sense
screaming in italics,I feel like no one cares,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,screaming in italics,I feel like no one cares
academy award for faking sanity goes to...,I'm tired of pretending,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,academy award for faking sanity goes to...,I'm tired of pretending
vibes not vibing. mood: static,Everything feels off,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,vibes not vibing. mood: static,Everything feels off
brain's doing laps with no finish line,I'm constantly overthinking,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,brain's doing laps with no finish line,I'm constantly overthinking
romanticizing bare minimum again,I don't feel loved,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,romanticizing bare minimum again,I don't feel loved
"goal: inner peace, ETA unknown",I just want to be okay,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"goal: inner peace, ETA unknown",I just want to be okay
mentally on fire but smiling for the plot,I'm not okay right now,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,mentally on fire but smiling for the plot,I'm not okay right now
"plot loop glitched again, reboot pls",Why does this keep happening?,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"plot loop glitched again, reboot pls",Why does this keep happening?
me speedrunning a breakdown,I can't deal with this,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,me speedrunning a breakdown,I can't deal with this
emotionally freefalling in 4K,I'm losing control,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,emotionally freefalling in 4K,I'm losing control
soul battery critically low,I feel emotionally drained,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,soul battery critically low,I feel emotionally drained
brain buffering. heart crashing.,I feel like giving up,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,brain buffering. heart crashing.,I feel like giving up
me drowning in air,I'm overwhelmed,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,me drowning in air,I'm overwhelmed
muting the universe one breakdown at a time,I just want silence,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,muting the universe one breakdown at a time,I just want silence
life's a sitcom and I'm the punchline,Everything is going wrong,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,life's a sitcom and I'm the punchline,Everything is going wrong
me: held together by coffee and denial,I feel like I'm falling apart,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,me: held together by coffee and denial,I feel like I'm falling apart
dreaming of being boring,I want to feel normal,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,dreaming of being boring,I want to feel normal
me? background character in my own story,I wish someone would notice,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,me? background character in my own story,I wish someone would notice
ctrl+z my existence pls,I feel like I'm fading,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,ctrl+z my existence pls,I feel like I'm fading
Oscar-worthy emotional masking,I can't keep pretending,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,Oscar-worthy emotional masking,I can't keep pretending
"me: a whole thesis, world: TL;DR",I want to be understood,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"me: a whole thesis, world: TL;DR",I want to be understood
"vibes are weird, brain's on do not disturb",I can't explain it,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"vibes are weird, brain's on do not disturb",I can't explain it
skill issue: life edition,I keep messing up,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,skill issue: life edition,I keep messing up
me vs me: civil war every day,I'm losing my mind,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,me vs me: civil war every day,I'm losing my mind
plot twist? just depression with side quests,I hate this phase,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,plot twist? just depression with side quests,I hate this phase
SOS but make it aesthetic,I need help,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,SOS but make it aesthetic,I need help
vibes screaming red flags,I don't feel safe,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,vibes screaming red flags,I don't feel safe
overstimulated by oxygen,Everything is too loud,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,overstimulated by oxygen,Everything is too loud
me time? more like avoid-everyone time,I want to be alone,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,me time? more like avoid-everyone time,I want to be alone
emotions turned off like a light switch,I feel so numb,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,emotions turned off like a light switch,I feel so numb
duct tape and delusion holding me down,I'm trying not to fall apart,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,duct tape and delusion holding me down,I'm trying not to fall apart
cried over a song and a sandwich today,I hate being so sensitive,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,cried over a song and a sandwich today,I hate being so sensitive
heart racing for no reason? just girly things,I hate being anxious,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,heart racing for no reason? just girly things,I hate being anxious
manifesting inner peace like it's Wi-Fi,I need something to believe in,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,manifesting inner peace like it's Wi-Fi,I need something to believe in
mouth running beta software,I always say the wrong thing,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,mouth running beta software,I always say the wrong thing
haunting my own timeline,I feel like a ghost,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,haunting my own timeline,I feel like a ghost
"life on loop, same bug every episode",Why does this always happen?,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"life on loop, same bug every episode",Why does this always happen?
lowkey transparent in 4K,I feel invisible,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,lowkey transparent in 4K,I feel invisible
trying to be relevant in a sea of main characters,I wish I mattered more,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,trying to be relevant in a sea of main characters,I wish I mattered more
mood: unrecognizable emotions,I don't know what happiness is,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,mood: unrecognizable emotions,I don't know what happiness is
"built like a glitch, trying to fit in",Why can't I be like others?,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"built like a glitch, trying to fit in",Why can't I be like others?
emotionally muted,I don't want to feel anymore,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,emotionally muted,I don't want to feel anymore
screaming in lowercase again,I don't feel heard,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,screaming in lowercase again,I don't feel heard
FOMO activated. confidence deactivated,I hate being left out,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,FOMO activated. confidence deactivated,I hate being left out
mentally: that cat in a ceiling fan,I'm spiraling,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,mentally: that cat in a ceiling fan,I'm spiraling
award for most consistent breakdown goes to me,I feel like a failure,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,award for most consistent breakdown goes to me,I feel like a failure
identity crisis with a side of fries,I don't know who I am,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,identity crisis with a side of fries,I don't know who I am
emotionally choking on pride,I don't know how to ask for help,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,emotionally choking on pride,I don't know how to ask for help
productivity paralysis activated,I feel like I'm not doing enough,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,productivity paralysis activated,I feel like I'm not doing enough
