input_text,target_text,task_type,source,quality_label,reason
Define this brainrot term in normal English: hb,Hb is an initialism of homeboy or homegirl.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: hg,Hg is an initialism of homeboy or homegirl.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: hit different,Hit different means to be better in a distinctive manner.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: ick,Ick is a sudden feeling of disgust or repulsion for something one was previously attracted to.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: icl,"Icl means abbreviation of ""I can't lie"".",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: IJBOL,"IJBOL is an acronym for ""I just burst out laughing"".",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: iPad kid,IPad kid means term describing Generation Alpha children who spend most of their time consuming content via a phone or tablet screen.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: it's giving,It's giving is an attitude or connotation.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: it's joever,"It's joever means replacement for it's over, standing for complete physical and mental defeat.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: iykyk,"Iykyk means if you know, you know.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: jestermaxxing,"Jestermaxxing is a slang term referring to both internet subcultures such as incels, and to the practice of using extreme humor, comedic antics, or acting like a ""clown"" to gain female attention and attraction (see also Clavicular).",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: jit,Jit is an African-American term originating in the 1970s.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: Karen,"Karen is a pejorative term for an obnoxious, angry, or entitled (usually but not exclusively white and middle-aged) woman.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: Khia,Khia is a nobody or irrelevant person.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: Kirkifying,Kirkifying means use of deepfake softwares to put Charlie Kirk 's face to pictures of already popular online memes.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: KMS,KMS means kill myself.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: knowing ball,Knowing ball means niche or uncommon knowledge.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: KYS,KYS means kill yourself.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: L,"L means ""loss,"" used to indicate failure, defeat, or something negative.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: L+Ratio,L+Ratio means insult used primarily online.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: larp,"Larp is a term for someone being fake or performative, similar to calling them a ""poser.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: let him cook,Let him cook means to perform or do well.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: lit,"Lit means remarkable, interesting, fun, or amusing.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: locked in,Locked in is a state of total concentration on a task.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: looksmaxxing,Looksmaxxing is an attempt (often pseudoscientific) to maximize physical attractiveness.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: Loudly crying emoji 😭,"Loudly crying emoji 😭 means also a replacement for I'm dying or the crying with laughter emoji, representing laughter.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: lowkenuinely,Lowkenuinely is a portmanteau of 'lowkey' and 'genuinely'.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: lowkirkenuinely,"Lowkirkenuinely is a portmanteau of 'lowkey', 'kirk', and 'genuinely'.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: main character (MC),Main character (MC) is someone who is or wants to be the star of their life.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: mew,Mew is a pseudoscientific method to restructure someone's jawline by pressing their tongue to the roof of their mouth.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: mid,"Mid means average, mediocre, not bad or not special.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: mog,"Mog means to look significantly more attractive than someone or something, causing them to appear inferior in comparison.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: mogging,"Mogging means to dominate, outclass, or look significantly better than someone else, typically in terms of physical appearance.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: moot(s),Moot(s) means mutuals or mutual followers.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: nugu,"Nugu means relatively unknown, obscure, or new groups that have not yet gained significant recognition or popularity among the K-Pop fandom.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: OK boomer,"OK boomer means pejorative directed toward members of the Baby Boomer generation, used to dismiss or mock attitudes typically associated with baby boomers as out of date.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: only in Ohio,"Only in Ohio means internet slang used to describe strange or surreal occurances humorously attributed to Ohio, compare Florida man.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: oof,"Oof is an expression of discomfort, surprise, dismay, or sympathy for someone else's pain.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: oomf,"Oomf means acronym for ""one of my followers"" or ""one of my friends"".",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: opp,"Opp means opposition or enemies, describes an individual's opponents.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: out of pocket,"Out of pocket means to act (or say something) crazy, wild, unexpected, or extreme, sometimes to an extent that is considered too far, or unavailable.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: owned,"Owned means used to refer to defeat in a video game, or domination of an opposition.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: periodt,"Periodt means originated as ""period"" in the early 1900s, spread in the 2010s via the City Girls rap duo and Black Twitter, and entered into the mainstream by 2019.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: pick-me,"Pick-me is someone who seeks validation by trying to stand out, often putting down others in their gender or group to gain favor or attention.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: pmo,"Pmo is an acronym that stands for ""piss me off"", used to express discontent or anger at a certain topic.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: pookie,Pookie is an endearing nickname for a close friend or lover.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: pushing P,Pushing P is a phrase meaning acting with integrity and style while maintaining and displaying one's success.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: queen,"Queen is a gay slang term for a homosexual male – it was once considered pejorative but has been completely reclaimed, and is often used in combination with other words to describe subcommunities.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: rage-bait,Rage-bait means to elicit rage within an individual or group.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: ratio,"Ratio means when a post, particularly on X (Twitter), receives more replies than retweets and likes combined.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: red flag,Red flag is a warning sign indicating behaviors or characteristics within a relationship that may potentially be harmful or toxic.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: rizz,Rizz means charisma or flirting ability.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: Roman Empire,"Roman Empire is a random event, person, incident, or thing that fascinates or intrigues one to the point that one is frequently thinking about it.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: salty,"Salty is someone who is behaving or expressing themselves in a resentful, bitter, or irritated manner.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: SDIYBT,"SDIYBT is an acronym for ""Start digging in your butt, twin"".",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: serving cunt,"Serving cunt means to behave in a bold, confident, feminine manner.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: sheesh,Sheesh means to praise someone when they are doing something good.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: shook,"Shook means to be shocked, surprised, or bothered.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: sigma,"Sigma is a person that is individualistic, self-reliant, successful, and is non-conforming to existing social norms.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: sigma male,"Sigma male is a person that is individualistic, self-reliant, successful, and is non-conforming to existing social norms.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: simp,"Simp means sycophancy, being overly affectionate in pursuit of a sexual relationship.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: six-seven (6-7),Six-seven (6-7) is a meme-based slang term that usually does not have a fixed literal meaning.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition_from_origin_notes
Define this brainrot term in normal English: skibidi,"Skibidi is a meme-based slang term derived from the Skibidi Toilet meme, and it usually does not have a fixed literal meaning.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition_from_origin_notes
Define this brainrot term in normal English: skill issue,"Skill issue is a situation where a person's lack of ability or proficiency is seen as the cause of their failure or difficulty in completing a task, sometimes used ironically.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: sksksk,Sksksk means used to convey happiness or laughter.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: Skull emoji 💀,"Skull emoji 💀 means replacement for the phrase ""I'm dying"", representing laughter or when something is unhinged.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: slaps,"Slaps means used to refer to something that is perceived to be good, particularly used when referring to music.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: slay,Slay means to do something well.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: slop,"Slop means low-quality internet content, particularly that which was created by generative artificial intelligence.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: snatched,"Snatched means amazing, attractive, or flawlessly styled.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: Son I'm crine,"Son I'm crine means often used in phrases like ""Son I'm crine"".",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: spiritually Israeli,Spiritually Israeli is a pejorative term implying something gives off the vibe of supporting Israel.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: spitting,Spitting is a lyric in a rap song that is considered excellent.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: spitting bars,Spitting bars is a lyric in a rap song that is considered excellent.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: stan,Stan means supporting something to an extreme degree.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: sus,Sus means short term for suspect or suspicious.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: sussy baka,"Sussy baka is a combination of ""sus"" and ""baka"", the Japanese word for ""fool"".",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: sybau,Sybau means shut your bitch ass up.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: syfm,"Syfm means acronym for ""shut your fucking mouth"", originally a meme taken from a scene in the movie Bronson.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: tea,Tea means secret information or rumors.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: touch grass,"Touch grass is a way of telling someone to ""go outside"", usually after said person is believed to have been online for too long.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: truth nuke,"Truth nuke is an impactful telling of factual, or sometimes opinionated, information, Sometimes spelt as ""trvthnvke"".",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: ts,"Ts is an abbreviation for ""this shit"", however it is also often used as a short form of ""this"".",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: tuff,Tuff means eye dialect spelling of tough.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: tweaking,Tweaking means to be acting strangely or thinking that someone is hallucinating.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: twin,"Twin is a term of endearment for a close friend, indicating a strong, sibling-like bond.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: unalive,"Unalive is an algospeak based euphemism for the word ""kill"" or other death -related terms, often in the context of suicide.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: unc,Unc means abbreviation of uncle.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: understood the assignment,"Understood the assignment means to understand what was supposed to be done, to do something well.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: uwu,Uwu means used to portray happiness or one wanting to appear cute.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: vaguepost,"Vaguepost is a social media post that is intentionally cryptic or ambiguous, often for the purpose of engagement farming.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: vibe check,"Vibe check means to check one's personality, behavior, or attitude.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
